dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb,pitch_count
2014-05-15,140515_192111nyn,,5,5,594798,407893,4,Strikeout,S,32,3.43,1.64,-4.104,6.034,FF,2,0.865,L,2,2,R,gid_2014_05_15_nyamlb_nynmlb_1/,Swinging Strike,214.025,1.42905,1,nyn,0.0723816472034,-136.966143714,0.291933369511,-4.44874984778,7.16606646035,-4.44874984778,7.16606646035,-1.00893273057,55,5.84118835486,3.76385948541,-140.522291986,-1.38794696544,-8.70000006485,32.8930007019,-18.1650003815,95.85,-0.199376639978,3.8324342355,-0.215,3.814,22,21
2014-05-15,140515_193210nyn,,4,1,594798,435263,8,Single,B,60,3.51,1.76,-3.212,8.296,FF,5,0.907,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,201.042,0.285714,2,nyn,0.0738600624217,-134.208334464,0.298091457164,-3.58597435214,9.44157248161,-3.58597435214,9.44157248161,-1.48633977989,55,5.86991283082,0.022192046219,-137.741595003,-4.28750557111,-6.72600008774,32.0289984741,-14.4700006866,93.96,-2.03820194936,2.91213308576,-2.057,2.885,0,22
2014-05-15,140515_193222nyn,,4,2,594798,435263,8,Single,S,61,3.51,1.76,-1.802,8.883,FF,15,0.896,L,0,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,191.376,-0.529143,2,nyn,0.0740033347572,-133.913096897,0.299098844018,-2.19964542934,10.0277635161,-2.19964542934,10.0277635161,-1.27201321031,55,5.90396468368,1.9376223294,-137.544819896,-6.27121068328,-4.09800006676,32.8619986572,-13.4970001602,93.89,-0.822125538958,2.20294215834,-0.832,2.172,10,23
2014-05-15,140515_193234nyn,,4,3,594798,435263,8,Single,S,62,3.51,1.76,-5.529,2.985,CH,20,0.879,L,1,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Swinging Strike,241.231,-1.21486,2,nyn,0.081337352204,-121.919487354,0.327558649649,-5.94133491551,4.47032503844,-5.94133491551,4.47032503844,-1.27737042664,55,5.7023016954,1.58871300823,-124.982644398,-3.38435333509,-9.2289998703,25.2100001373,-25.2350000763,85.25,-1.49448286252,1.63812360713,-1.489,1.572,11,24
2014-05-15,140515_193248nyn,,4,4,594798,435263,8,Single,X,63,3.51,1.76,-5.831,2.291,CH,15,0.884,L,2,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,"In play, no out",248.131,-0.890286,2,nyn,0.081765282235,-121.264594133,0.329528446091,-6.2436501122,3.80560951401,-6.2436501122,3.80560951401,-1.28056607273,55,5.6736471769,1.34687974607,-124.361737749,-2.35769638138,-9.58299996185,25.3580008545,-26.3380007172,84.81,-1.649691484,1.92230480865,-1.644,1.856,12,25
2014-05-15,140515_193329nyn,,6,1,594798,150093,9,Strikeout,S,67,3.49,1.65,-2.64,10.803,FF,13,0.779,R,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Foul,193.642,-0.221739,2,nyn,0.0743836621161,-133.214252511,0.300809807497,-3.02894632736,11.9317361297,-3.02894632736,11.9317361297,-1.27156081645,55,5.91304813231,5.07771046424,-136.869452732,-6.43665790811,-5.57899977493,32.9070006409,-10.2020000839,93.49,0.346631992809,2.39651742565,0.345,2.366,0,26
2014-05-15,140515_193354nyn,,6,2,594798,150093,9,Strikeout,B,68,3.49,1.65,-7.766,7.098,FF,21,0.787,R,1,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,227.389,-1.79022,2,nyn,0.0743616419568,-133.387866973,0.299087388232,-8.07172614173,8.27084870192,-8.07172614173,8.27084870192,-1.3264029284,55,5.77056143255,5.48647175574,-136.645025719,-8.28197501707,-15.0390002899,29.317999939,-16.769000473,93.41,-0.341101602248,0.962753888006,-0.353,0.923,1,27
2014-05-15,140515_193421nyn,,6,3,594798,150093,9,Strikeout,B,69,3.49,1.65,4.607,-4.29,CU,20,0.794,R,1,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball In Dirt,47.3722,-2.48152,2,nyn,0.0844482297195,-117.392485359,0.340646969388,3.96788406473,-2.54546160639,3.96788406473,-2.54546160639,-1.38433600381,55,5.8404991525,-0.446568976089,-120.449224273,-3.31917916964,5.699000103,24.2340003052,-35.8350004578,82.16,-0.971930159351,0.387279386957,-0.94,0.287,11,28
2014-05-15,140515_193442nyn,,6,4,594798,150093,9,Strikeout,S,70,3.49,1.65,-7.46,3.753,FT,15,0.582,R,1,2,R,gid_2014_05_15_nyamlb_nynmlb_1/,Foul,243.035,-0.329348,2,nyn,0.0740833619136,-133.766144698,0.29945024626,-7.77119988985,4.97993821711,-7.77119988985,4.97993821711,-1.36105242,55,5.64004797858,2.50892243651,-137.400769506,-3.44017347088,-14.4440000229,32.8529997864,-22.9229998016,93.73,-1.54668730264,2.30186485104,-1.566,2.267,21,29
2014-05-15,140515_193506nyn,,6,5,594798,150093,9,Strikeout,B,71,3.49,1.65,-4.433,5.993,FF,4,0.513,R,2,2,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,216.275,0.965217,2,nyn,0.0741760369508,-133.588854484,0.29994907702,-4.79195258457,7.18981849062,-4.79195258457,7.18981849062,-1.22231474689,55,5.80349840998,7.54982068305,-137.249160567,-1.77288845513,-8.87699963379,33.0450011292,-18.8600000763,93.73,1.12978839067,3.48464228714,1.13,3.458,22,30
